time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
50,72.02083796549799,72.02083796549799,0.0,89.90758581682842,89.90758581682842,0.0,5.0663200605812975,5.0663200605812975,0.0,5.194130685485652,5.194130685485652,0.0,15.397240023259826,15.397240023259826,0.0
51,72.3402035404327,72.3402035404327,0.0,90.20739625380091,90.20739625380091,0.0,5.0640921601472035,5.0640921601472035,0.0,5.191080907819046,5.191080907819046,0.0,15.384794141836466,15.384794141836466,0.0
52,72.12514178080237,72.12514178080237,0.0,90.60611575691058,90.60611575691058,0.0,5.084416283738933,5.084416283738933,0.0,5.195783285420614,5.195783285420614,0.0,15.375315556346234,15.375315556346234,0.0
53,71.90208121581618,71.90208121581618,0.0,90.5736252950253,90.5736252950253,0.0,5.103909386868402,5.103909386868402,0.0,5.195184209201471,5.195184209201471,0.0,15.279628075092429,15.279628075092429,0.0
54,71.64347355075047,71.64347355075047,0.0,90.99851824373701,90.99851824373701,0.0,5.128173233687286,5.128173233687286,0.0,5.198676975773194,5.198676975773194,0.0,15.391921500708142,15.391921500708142,0.0
55,71.32792992123225,71.32792992123225,0.0,90.85733438511498,90.85733438511498,0.0,5.14557581450689,5.14557581450689,0.0,5.201805110339079,5.201805110339079,0.0,15.286647523245115,15.286647523245115,0.0
56,71.69835501154883,71.69835501154883,0.0,90.87767054446238,90.87767054446238,0.0,5.094844106446392,5.094844106446392,0.0,5.205382449514321,5.205382449514321,0.0,15.241511914559602,15.241511914559602,0.0
57,71.53098094547971,71.53098094547971,0.0,90.89052454066616,90.89052454066616,0.0,5.066633529187019,5.066633529187019,0.0,5.207905547604204,5.207905547604204,0.0,15.31775686241761,15.31775686241761,0.0
58,71.23493122404585,71.23493122404585,0.0,90.50528861099123,90.50528861099123,0.0,5.086911369197009,5.086911369197009,0.0,5.211942345958318,5.211942345958318,0.0,15.249192410149766,15.249192410149766,0.0
59,71.48680005579271,71.48680005579271,0.0,90.78401862990434,90.78401862990434,0.0,5.078238803792213,5.078238803792213,0.0,5.215379860099768,5.215379860099768,0.0,15.342740132233876,15.342740132233876,0.0
60,71.95614791201737,71.95614791201737,0.0,90.91191977928226,90.91191977928226,0.0,5.049060798912198,5.049060798912198,0.0,5.2102341798547185,5.2102341798547185,0.0,15.374257728272061,15.374257728272061,0.0
61,72.1469329955041,72.1469329955041,0.0,90.80278287655814,90.80278287655814,0.0,5.04344356709463,5.04344356709463,0.0,5.208267854347093,5.208267854347093,0.0,15.456708138787867,15.456708138787867,0.0
62,71.92407656697195,71.92407656697195,0.0,90.40723955704136,90.40723955704136,0.0,5.071706281440576,5.071706281440576,0.0,5.20799131318394,5.20799131318394,0.0,15.496084930900796,15.496084930900796,0.0
63,72.13139921277227,72.13139921277227,0.0,90.33039146052599,90.33039146052599,0.0,5.027758495544206,5.027758495544206,0.0,5.20899473990955,5.20899473990955,0.0,15.433203991344115,15.433203991344115,0.0
64,71.95871309247359,71.95871309247359,0.0,90.62977998140204,90.62977998140204,0.0,5.008089007774487,5.008089007774487,0.0,5.206368406836912,5.206368406836912,0.0,15.387140264051293,15.387140264051293,0.0
65,71.88811744875483,71.88811744875483,0.0,90.16224821665652,90.16224821665652,0.0,5.000647888772442,5.000647888772442,0.0,5.2102628538476905,5.2102628538476905,0.0,15.302657049116604,15.302657049116604,0.0
66,72.23064275114882,72.23064275114882,0.0,90.03785040907901,90.03785040907901,0.0,5.004396617509182,5.004396617509182,0.0,5.2044463407576975,5.2044463407576975,0.0,15.364588569589392,15.364588569589392,0.0
67,72.13274483333193,72.13274483333193,0.0,90.1944935989609,90.1944935989609,0.0,5.001010385772126,5.001010385772126,0.0,5.203512428972706,5.203512428972706,0.0,15.340205886798312,15.340205886798312,0.0
68,72.08723122608852,72.08723122608852,0.0,90.5956775254768,90.5956775254768,0.0,4.974451192791923,4.974451192791923,0.0,5.199079546025372,5.199079546025372,0.0,15.327467710242168,15.327467710242168,0.0
69,72.17777157204,72.17777157204,0.0,90.70351019532644,90.70351019532644,0.0,4.997943354669598,4.997943354669598,0.0,5.200881098167291,5.200881098167291,0.0,15.236859044823813,15.236859044823813,0.0
70,71.90485099923343,71.90485099923343,0.0,90.19478478451414,90.19478478451414,0.0,4.996228047152955,4.996228047152955,0.0,5.204308026393803,5.204308026393803,0.0,15.296753451523237,15.296753451523237,0.0
