time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
8298,72.31105092563189,72.31105092563189,0.0,90.13068350482777,90.13068350482777,0.0,5.0144098388996445,5.0144098388996445,0.0,5.20431221122957,5.20431221122957,0.0,15.365173700371315,15.365173700371315,0.0
8299,72.12092966114733,72.12092966114733,0.0,90.14945663408984,90.14945663408984,0.0,5.0084999059637525,5.0084999059637525,0.0,5.203851856848868,5.203851856848868,0.0,15.329386551540868,15.329386551540868,0.0
8300,72.35249947008661,72.35249947008661,0.0,90.26608195169435,90.26608195169435,0.0,5.016215169665911,5.016215169665911,0.0,5.199974083121705,5.199974083121705,0.0,15.461133413525854,15.461133413525854,0.0
8301,72.47696364996378,72.47696364996378,0.0,90.0814968874192,90.0814968874192,0.0,4.989488892100589,4.989488892100589,0.0,5.201022503375493,5.201022503375493,0.0,15.429787539446789,15.429787539446789,0.0
8302,72.46640816894701,72.46640816894701,0.0,89.79622027423463,89.79622027423463,0.0,5.012091560024269,5.012091560024269,0.0,5.203624372513084,5.203624372513084,0.0,15.410564983244035,15.410564983244035,0.0
8303,72.1952404346841,72.1952404346841,0.0,89.68892906523736,89.68892906523736,0.0,4.981128448116736,4.981128448116736,0.0,5.204202085624751,5.204202085624751,0.0,15.39070440028633,15.39070440028633,0.0
8304,71.8234689821108,71.8234689821108,0.0,89.73011679255644,89.73011679255644,0.0,4.97924673929968,4.97924673929968,0.0,5.208533451698229,5.208533451698229,0.0,15.328990042025463,15.328990042025463,0.0
8305,71.81980170753371,71.81980170753371,0.0,89.7141580499618,89.7141580499618,0.0,4.9898275701655415,4.9898275701655415,0.0,5.210009716958719,5.210009716958719,0.0,15.28779727802891,15.28779727802891,0.0
8306,72.01775020336254,72.01775020336254,0.0,90.18085533727336,90.18085533727336,0.0,5.00629667708326,5.00629667708326,0.0,5.2104372158042835,5.2104372158042835,0.0,15.24924684355204,15.24924684355204,0.0
8307,71.8321833411977,71.8321833411977,0.0,90.26968036365301,90.26968036365301,0.0,5.039469319195685,5.039469319195685,0.0,5.2100446313357685,5.2100446313357685,0.0,15.159875648742343,15.159875648742343,0.0
