time_s,scenario_name,action_type,status,detail,payload
119,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
120,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
121,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
122,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
123,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
124,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
125,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
126,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
127,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
128,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
129,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
130,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
131,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
132,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
133,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
134,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
135,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
136,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
137,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
138,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
139,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
140,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
141,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
142,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
143,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
144,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
145,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
146,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
147,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
148,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
149,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
150,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
151,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
152,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
153,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
154,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
155,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
156,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
157,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
158,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
159,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
