time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
834,72.61273474161392,72.61273474161392,0.0,89.95286656518313,89.95286656518313,0.0,5.016787553262987,5.016787553262987,0.0,5.195402203785961,5.195402203785961,0.0,15.369079886708022,15.369079886708022,0.0
835,72.49566833941341,72.49566833941341,0.0,89.89655287072333,89.89655287072333,0.0,5.031239724314834,5.031239724314834,0.0,5.200562399869331,5.200562399869331,0.0,15.408825807647869,15.408825807647869,0.0
836,72.0250083508194,72.0250083508194,0.0,89.66159715441758,89.66159715441758,0.0,5.054926609688433,5.054926609688433,0.0,5.203513076371121,5.203513076371121,0.0,15.486883393360932,15.486883393360932,0.0
837,71.95170801751911,71.95170801751911,0.0,89.67212932745109,89.67212932745109,0.0,5.058614947534151,5.058614947534151,0.0,5.198345158973196,5.198345158973196,0.0,15.445673084891709,15.445673084891709,0.0
838,71.78576323141623,71.78576323141623,0.0,89.69229775441727,89.69229775441727,0.0,5.051347172780053,5.051347172780053,0.0,5.19671671115002,5.19671671115002,0.0,15.48137614511203,15.48137614511203,0.0
839,71.97326640003799,71.97326640003799,0.0,89.83393977537773,89.83393977537773,0.0,5.0537911967374,5.0537911967374,0.0,5.192270402250076,5.192270402250076,0.0,15.400107138932029,15.400107138932029,0.0
840,71.84252424524503,71.84252424524503,0.0,89.91580126448216,89.91580126448216,0.0,5.079923443906653,5.079923443906653,0.0,5.19586097060114,5.19586097060114,0.0,15.439293964481987,15.439293964481987,0.0
841,71.85626617521423,71.85626617521423,0.0,90.29870176573282,90.29870176573282,0.0,5.07224127079239,5.07224127079239,0.0,5.1945430056649355,5.1945430056649355,0.0,15.474722464454004,15.474722464454004,0.0
842,71.81348314965771,71.81348314965771,0.0,90.64489414003884,90.64489414003884,0.0,5.04657186083094,5.04657186083094,0.0,5.197228964384852,5.197228964384852,0.0,15.434511213239546,15.434511213239546,0.0
843,71.87600129922984,71.87600129922984,0.0,90.58136754078126,90.58136754078126,0.0,5.0643349435834475,5.0643349435834475,0.0,5.201330818854727,5.201330818854727,0.0,15.37051358310875,15.37051358310875,0.0
844,72.27416908428624,72.27416908428624,0.0,90.03554159912584,90.03554159912584,0.0,5.09446004228338,5.09446004228338,0.0,5.202489520930327,5.202489520930327,0.0,15.446066419022632,15.446066419022632,0.0
845,72.2812559737733,72.2812559737733,0.0,90.05598310591564,90.05598310591564,0.0,5.111052818305108,5.111052818305108,0.0,5.204805871913747,5.204805871913747,0.0,15.494901608618441,15.494901608618441,0.0
846,72.08187243393047,72.08187243393047,0.0,89.7619270725853,89.7619270725853,0.0,5.096033588645406,5.096033588645406,0.0,5.201798038074397,5.201798038074397,0.0,15.511038453600491,15.511038453600491,0.0
847,72.42761287930229,72.42761287930229,0.0,89.49928796152854,89.49928796152854,0.0,5.052227897411756,5.052227897411756,0.0,5.204503714720015,5.204503714720015,0.0,15.613725353027,15.613725353027,0.0
848,72.68078289163066,72.68078289163066,0.0,89.15183224006009,89.15183224006009,0.0,5.043888265308416,5.043888265308416,0.0,5.204144160657533,5.204144160657533,0.0,15.658753551698666,15.658753551698666,0.0
849,72.89628730385944,72.89628730385944,0.0,89.37886944600368,89.37886944600368,0.0,5.0600884239902175,5.0600884239902175,0.0,5.200245762345788,5.200245762345788,0.0,15.642242580766315,15.642242580766315,0.0
850,72.99152879363342,72.99152879363342,0.0,89.79763916945573,89.79763916945573,0.0,5.022706699303848,5.022706699303848,0.0,5.202471818596101,5.202471818596101,0.0,15.55634234119561,15.55634234119561,0.0
851,72.9827370282321,72.9827370282321,0.0,89.4351326967295,89.4351326967295,0.0,5.054270923324445,5.054270923324445,0.0,5.204144706200653,5.204144706200653,0.0,15.42973631921194,15.42973631921194,0.0
